cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Cards from the Sky,3,54977057,Common,M,Unlimited,Structure Deck: Lost Sanctuary,SDLS-EN023
Cards of Consonance,3,39701395,Common,M,Unlimited,Structure Deck: Saga of Blue-Eyes White Dragon,SDBE-EN025
Cards of the Red Stone,3,32566831,Common,M,Unlimited,Legendary Decks II,LDK2-ENJ25
"Carpiponica, Mystical Beast of the Forest",3,85055821,Common,M,Unlimited,Dawn of Majesty,DAMA-EN022
Cash Back,3,59957503,Common,M,Unlimited,Abyss Rising,ABYR-EN078
Castle of Dragon Souls,3,13513663,Common,M,Unlimited,Structure Deck: Saga of Blue-Eyes White Dragon,SDBE-EN033
Castle Walls,3,44209392,Common,M,Unlimited,Starter Deck: Yugi,SDY-049
Cat's Ear Tribe,3,95841282,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN136
Cataclysmic Circumpolar Chilblainia,3,62850093,Common,M,Unlimited,Eternity Code,ETCO-EN033
Cataclysmic Crusted Calcifida,3,9028399,Common,M,Unlimited,Ignition Assault,IGAS-EN025
Cataclysmic Cryonic Coldo,3,19420830,Common,M,Unlimited,Rising Rampage,RIRA-EN030
Cataclysmic Scorching Sunburner,3,39505816,Common,M,Unlimited,Savage Strike,SAST-EN028
Catapult Turtle,3,95727991,Common,M,Unlimited,Duelist Pack: Yugi,DPYG-EN006
Catapult Warrior,3,37474917,Common,M,Unlimited,Star Pack 2013,SP13-EN049
Catapult Zone,3,14289852,Common,M,Unlimited,Return of the Duelist,REDU-EN064
Catche Eve L2,3,50690129,Common,M,Unlimited,Savage Strike,SAST-EN001
Catnipped Kitty,3,96501677,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN133
"Catoblepas, Familiar of the Evil Eye",3,45955628,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN234
Cattle Call,3,50619462,Common,M,Unlimited,OTS Tournament Pack 14,OP14-EN020
Cauldron of the Old Man,3,91740879,Common,M,Unlimited,Chaos Impact,CHIM-EN064
Cave Dragon,3,93220472,Common,M,Unlimited,Dark Beginning 2,DB2-EN155
Ceasefire,3,36468556,Common,M,Unlimited,Astral Pack 6,AP06-EN026
Celestia,3,43912676,Common,M,Unlimited,The New Challengers,NECH-EN065
"Celestia, Lightsworn Angel",3,94381039,Common,M,Unlimited,Structure Deck: Realm of Light,SDLI-EN006
Celestial Sword - Eatos,3,55569674,Common,M,Unlimited,Dragons of Legend: The Complete Series,DLCS-EN013
Celestial Transformation,3,28890974,Common,M,Unlimited,Structure Deck: Lost Sanctuary,SDLS-EN028
Cell Explosion Virus,3,84491298,Common,M,Unlimited,Champion Pack 8,CP08-EN020
Celtic Guardian,3,91152256,Common,M,Unlimited,Speed Duel Decks: Match of the Millennium,SS04-ENA06
Cemetary Bomb,3,51394546,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN059
Centerfrog,3,47346782,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN025
Centrifugal Field,3,1801154,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN165
Ceremonial Bell,3,20228463,Common,M,Unlimited,Dark Beginning 1,DB1-EN055
Cestus of Dagla,3,28106077,Common,M,Unlimited,Battle Pack 3: Monster League,BP03-EN148
Chain Destruction,3,1248895,Common,M,Unlimited,Legendary Collection 3: Yugi's World,LCYW-EN094
Chain Detonation,3,51449743,Common,M,Unlimited,Cyberdark Impact,CDIP-EN054
Chain Disappearance,3,57139487,Common,M,Unlimited,Legendary Collection 3: Yugi's World,LCYW-EN289
Chain Dispel,3,3171055,Common,M,Unlimited,Duelist Alliance,DUEA-EN076
Chain Dog,3,96930127,Common,M,Unlimited,Battle Pack 3: Monster League,BP03-EN080
Chain Energy,3,79323590,Common,M,Unlimited,Dark Beginning 1,DB1-EN030
Chain Healing,3,25050038,Common,M,Unlimited,Cyberdark Impact,CDIP-EN053
Chain Ignition,3,85893201,Common,M,Unlimited,Shadow Specters,SHSP-EN077
Chain Material,3,39980304,Common,M,Unlimited,Phantom Darkness,PTDN-EN067
Chain Resonator,3,13764881,Common,M,Unlimited,Duelist Pack: Dimensional Guardians,DPDG-EN022
Chain Strike,1,91623717,Common,M,Unlimited,Cyberdark Impact,CDIP-EN043
Chain Summoning,3,9952083,Common,M,Unlimited,OTS Tournament Pack 5,OP05-EN025
Chain Thrasher,3,88190453,Common,M,Unlimited,Shadow of Infinity,SOI-EN015
Chain Whirlwind,3,22205600,Common,M,Unlimited,Duelist Revolution,DREV-EN069
Chainsaw Insect,3,77252217,Common,M,Unlimited,Starter Deck: Duelist Toolbox,5DS3-EN008
Chamberlain of the Six Samurai,3,44430454,Common,M,Unlimited,Gladiator's Assault,GLAS-EN001
Champion's Vigilance,3,82382815,Common,M,Unlimited,Photon Shockwave,PHSW-EN074
Change of Heart,0,4031928,Common,M,Unlimited,Starter Deck: Yugi,SDY-032
Change of Hero - Reflector Ray,3,74095602,Common,M,Unlimited,Strike of Neos,STON-EN049
Change Slime,3,18914778,Common,M,Unlimited,Speed Duel: Trials of the Kingdom,SBTK-EN006
Changer Synchron,3,25652655,Common,M,Unlimited,The Shining Darkness,TSHD-EN004
Changing Destiny,3,24673894,Common,M,Unlimited,Absolute Powerforce,ABPF-EN063
Chaos Betrayer,3,34966096,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN060
Chaos Burst,3,4923662,Common,M,Unlimited,Starter Deck: Yuya,YS16-EN039
Chaos Command Magician,3,72630549,Common,M,Unlimited,Structure Deck: Spellcaster's Judgment,SD6-EN008
Chaos Core,3,54040484,Common,M,Unlimited,Structure Deck: Sacred Beasts,SDSA-EN002
Chaos End,3,61044390,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN036
Chaos Form,3,21082832,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN011
Chaos Greed,3,97439308,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN038
Chaos Hunter,3,97940434,Common,M,Unlimited,Structure Deck: Master of Pendulum,SDMP-EN014
Chaos Infinity,3,4081825,Common,M,Unlimited,Legendary Duelists: Rage of Ra,LED7-EN030
Chaos Necromancer,3,1434352,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN183
Chaos Seed,3,76766706,Common,M,Unlimited,Duelist Alliance,DUEA-EN092
Chaos Sorcerer,3,9596126,Common,M,Unlimited,Structure Deck: Dragons Collide,SDDC-EN014
Chaos Summoning Beast,3,27439792,Common,M,Unlimited,Structure Deck: Sacred Beasts,SDSA-EN004
Chaos Trap Hole,3,11593137,Common,M,Unlimited,The Shining Darkness,TSHD-EN080
Chaos Zone,3,94243005,Common,M,Unlimited,Structure Deck: Dragons Collide,SDDC-EN024
Chaosrider Gustaph,3,47829960,Common,M,Unlimited,Structure Deck: The Dark Emperor,SDDE-EN012
Charcoal Inpachi,3,13179332,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN114
Charge Into a Dark World,3,85325774,Common,M,Unlimited,Phantom Rage,PHRA-EN063
Charge of the Light Brigade,3,94886282,Common,M,Unlimited,Structure Deck: Rise of the True Dragons,SR02-EN033
Charged-Up Heraldry,3,84482694,Common,M,Unlimited,Ignition Assault,IGAS-EN060
Charging Gaia the Fierce Knight,3,7841921,Common,M,Unlimited,Speed Duel Decks: Match of the Millennium,SS04-ENA10
Charioteer of Prophecy,3,49191560,Common,M,Unlimited,Return of the Duelist,REDU-EN019
Charm of Shabti,3,50412166,Common,M,Unlimited,Pharaonic Guardian,PGD-074
Checkmate,3,69313735,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN251
Checksum Dragon,3,94136469,Common,M,Unlimited,Structure Deck: Rokket Revolt,SDRR-EN006
Cheepcheepcheep,3,27189308,Common,M,Unlimited,2014 Mega-Tin Mega Pack,MP14-EN090
Chemicritter Carbo Crab,3,81599449,Common,M,Unlimited,Invasion: Vengeance,INOV-EN024
Chemicritter Hydron Hawk,3,55100740,Common,M,Unlimited,Invasion: Vengeance,INOV-EN023
Chemicritter Oxy Ox,3,18993198,Common,M,Unlimited,Invasion: Vengeance,INOV-EN025
Chewbone,3,7392745,Common,M,Unlimited,Star Pack 2013,SP13-EN020
Chicken Game,0,67616300,Common,M,Unlimited,Clash of Rebellions,CORE-EN067
Child's Play,3,12021072,Common,M,Unlimited,Savage Strike,SAST-EN069
Chimera the Flying Mythical Beast,3,4796100,Common,M,Unlimited,King of Games: Yugi's Legendary Decks,YGLD-ENB41
Chimeratech Fortress Dragon,3,79229522,Common,M,Unlimited,Legendary Dragon Decks,LEDD-ENB28
Chimeratech Overdragon,3,64599569,Common,M,Unlimited,Star Pack 2014,SP14-EN043
Chimeratech Rampage Dragon,3,84058253,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN019
Chiron the Mage,3,16956455,Common,M,Unlimited,Battle Pack 2: War of the Giants,BP02-EN034
Chobham Armor Dragon,3,27352108,Common,M,Unlimited,Chaos Impact,CHIM-EN005
Chopman the Desperate Outlaw,3,40884383,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN010
Chorus of Sanctuary,3,81380218,Common,M,Unlimited,Dark Beginning 1,DB1-EN022
Chosen by the World Chalice,3,22916281,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN045
Chosen of Zefra,3,98076754,Common,M,Unlimited,Crossed Souls,CROS-EN071
Chosen One,3,21888494,Common,M,Unlimited,Dark Beginning 1,DB1-EN217
Chow Chow Chan,3,99902789,Common,M,Unlimited,Shadow Specters,SHSP-EN002
Chow Len the Prophet,3,95905259,Common,M,Unlimited,Order of Chaos,ORCS-EN032
Chronograph Sorcerer,3,12289247,Common,M,Unlimited,Legendary Duelists: Magical Hero,LED6-EN052
Chronomaly Acambaro Figures,3,24506253,Common,M,Unlimited,Dawn of Majesty,DAMA-EN014
Chronomaly Esperanza Glyph,3,50797682,Common,M,Unlimited,Dawn of Majesty,DAMA-EN075
Chronomaly Golden Jet,3,88552992,Common,M,Unlimited,Return of the Duelist,REDU-EN011
Chronomaly Mayan Machine,3,25163248,Common,M,Unlimited,Return of the Duelist,REDU-EN009
Chronomaly Moai,3,87430304,Common,M,Unlimited,Return of the Duelist,REDU-EN014
Chronomaly Moai Carrier,3,38007744,Common,M,Unlimited,2014 Mega-Tin Mega Pack,MP14-EN190
Chronomaly Pyramid Eye Tablet,3,26345570,Common,M,Unlimited,Return of the Duelist,REDU-EN055
Chronomaly Technology,3,90951921,Common,M,Unlimited,Return of the Duelist,REDU-EN054
Chronomaly Temple - Trilithon,3,98204536,Common,M,Unlimited,Dawn of Majesty,DAMA-EN059
Chronomaly Tuspa Rocket,3,2089016,Common,M,Unlimited,Ignition Assault,IGAS-EN016
Chronomaly Winged Sphinx,3,65591858,Common,M,Unlimited,2014 Mega-Tin Mega Pack,MP14-EN191
Chrysalis Chicky,3,17363041,Common,M,Unlimited,Tactical Evolution,TAEV-EN008
Chrysalis Dolphin,3,42682609,Common,M,Unlimited,Power of the Duelist,POTD-EN006
Chrysalis Larva,3,16241441,Common,M,Unlimited,Tactical Evolution,TAEV-EN010
Chrysalis Mole,3,42239546,Common,M,Unlimited,Tactical Evolution,TAEV-EN011
Chrysalis Pantail,3,43751755,Common,M,Unlimited,Tactical Evolution,TAEV-EN007
Chrysalis Pinny,3,29246354,Common,M,Unlimited,Tactical Evolution,TAEV-EN009
Chthonian Alliance,3,46910446,Common,M,Unlimited,Duelist Pack 2: Chazz Princeton,DP2-EN022
Chthonian Blast,3,18271561,Common,M,Unlimited,Battle Pack 2: War of the Giants: Round 2,BPW2-EN086
Chthonian Polymer,3,72287557,Common,M,Unlimited,Duelist Pack 2: Chazz Princeton,DP2-EN029
Chthonian Soldier,3,50916353,Common,M,Unlimited,Dark Revelation Volume 4,DR04-EN070
Chu-Ske the Mouse Fighter,3,8508055,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN123
Cipher Bit,3,99397762,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN159
Cipher Etranger,3,79094383,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN179
Cipher Mirror Knight,3,58383100,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN136
Cipher Soldier,3,79853073,Common,M,Unlimited,OTS Tournament Pack 3,OP03-EN016
Cipher Spectrum,3,98905,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN221
Cipher Twin Raptor,3,21999001,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN135
Cipher Wing,3,81974607,Common,M,Unlimited,Dragons of Legend: The Complete Series,DLCS-EN124
Circle of the Fire Kings,3,59388357,Common,M,Unlimited,Structure Deck: Soulburner,SDSB-EN028
"Clavkiys, the Magikey Skyblaster",3,98234196,Common,M,Unlimited,Dawn of Majesty,DAMA-EN010
Claw Reacher,3,41218256,Common,M,Unlimited,Starter Deck: Yugi,SDY-018
Clay Charge,3,22479888,Common,M,Unlimited,Legendary Collection 2,LCGX-EN111
Cliant,3,45778242,Common,M,Unlimited,Starter Deck: Codebreaker,YS18-EN010
Cloak and Dagger,3,8323633,Common,M,Unlimited,Turbo Pack: Booster Three,TU03-EN018
Clock Arc,3,87468732,Common,M,Unlimited,Lightning Overdrive,LIOV-EN030
Clock Lizard,3,51476410,Common,M,Unlimited,Savage Strike,SAST-EN047
Clock Resonator,3,77087109,Common,M,Unlimited,Extreme Victory,EXVC-EN007
Clock Spartoi,3,4478086,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN185
Clock Tower Prison,3,75041269,Common,M,Unlimited,Legendary Hero Decks,LEHD-ENA19
Clock Wyvern,3,21830679,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN152
Cloning,3,86871614,Common,M,Unlimited,Legendary Decks II,LDK2-ENK36
Closed Forest,3,78082039,Common,M,Unlimited,Battle Pack 3: Monster League,BP03-EN171
Cloudcastle,3,9348522,Common,M,Unlimited,Duelist Alliance,DUEA-EN098
Cloudian - Ghost Fog,3,83604828,Common,M,Unlimited,Gladiator's Assault,GLAS-EN006
Cloudian - Nimbusman,3,20003527,Common,M,Unlimited,Gladiator's Assault,GLAS-EN007
Cloudian - Poison Cloud,3,83982270,Common,M,Unlimited,Gladiator's Assault,GLAS-EN009
Cloudian - Smoke Ball,3,80825553,Common,M,Unlimited,Gladiator's Assault,GLAS-EN002
Cloudian - Storm Dragon,3,13474291,Common,M,Unlimited,Light of Destruction,LODT-EN040
Cloudian - Turbulence,3,16197610,Common,M,Unlimited,Gladiator's Assault,GLAS-EN013
Cloudian Aerosol,3,88210105,Common,M,Unlimited,Dark Neostorm,DANE-EN058
Cloudian Squall,3,90135989,Common,M,Unlimited,Gladiator's Assault,GLAS-EN052
Clown Zombie,3,92667214,Common,M,Unlimited,Speed Duel: Arena of Lost Souls,SBLS-EN029
Cluster Congester,3,94703021,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN002
Coach Captain Bearman,3,67136033,Common,M,Unlimited,OTS Tournament Pack 4,OP04-EN019
Coach Goblin,3,42541548,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN015
Coach King Giantrainer,3,30741334,Common,M,Unlimited,OTS Tournament Pack 4,OP04-EN024
Cobra Jar,3,86801871,Common,M,Unlimited,Pharaonic Guardian,PGD-075
Cobraman Sakuzy,3,75109441,Common,M,Unlimited,Pharaonic Guardian,PGD-032
Cockadoodledoo,3,42338879,Common,M,Unlimited,Legendary Hero Decks,LEHD-ENC11
Cockroach Knight,3,33413638,Common,M,Unlimited,Tournament Pack 1,TP1-029
Cocoon of Evolution,3,40240595,Common,M,Unlimited,Speed Duel Decks: Ultimate Predators,SS03-ENB09
Cocoon Party,3,80368942,Common,M,Unlimited,Tactical Evolution,TAEV-EN048
Cocoon Rebirth,3,43644025,Common,M,Unlimited,Tactical Evolution,TAEV-EN050
Cocoon Veil,3,56641453,Common,M,Unlimited,Tactical Evolution,TAEV-EN065
Codarus,3,65496056,Common,M,Unlimited,Absolute Powerforce,ABPF-EN032
Code Talker Inverted,3,45462149,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN040
Codebreaker Virus Berserker,3,48736598,Common,M,Unlimited,Eternity Code,ETCO-EN051
Codebreaker Virus Swordsman,3,84121193,Common,M,Unlimited,Eternity Code,ETCO-EN052
Codebreaker Zero Day,3,8662794,Common,M,Unlimited,Eternity Code,ETCO-EN002
Coffin Seller,3,65830223,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN132
Cold Enchanter,3,24661486,Common,M,Unlimited,Legendary Collection 2,LCGX-EN201
Cold Feet,3,40383551,Common,M,Unlimited,Return of the Duelist,REDU-EN065
Cold Wave,0,60682203,Common,M,Unlimited,Structure Deck: Zombie World,SDZW-EN019
Collected Power,3,7565547,Common,M,Unlimited,Legendary Collection 3: Yugi's World,LCYW-EN098
Column Switch,3,37480144,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN211
Combination Attack,3,8964854,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN085
Combo Fighter,3,8806072,Common,M,Unlimited,Cyberdark Impact,CDIP-EN028
Command Knight,3,10375182,Common,M,Unlimited,Speed Duel: Scars of Battle,SBSC-EN008
Command Performance,3,78184733,Common,M,Unlimited,The New Challengers,NECH-EN069
Commander Covington,3,22666164,Common,M,Unlimited,Structure Deck: Machina Mayhem,SDMM-EN005
Commander of Swords,3,12197543,Common,M,Unlimited,Galactic Overlord,GAOV-EN068
Commencement Dance,3,43417563,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN186
Common Charity,3,40465719,Rare,M,Unlimited,Tactical Evolution,TAEV-EN072
Common Soul,3,14772491,Common,M,Unlimited,Power of the Duelist,POTD-EN045
Compulsory Escape Device,3,48216773,Common,M,Unlimited,Return of the Duelist,REDU-EN074
Compulsory Evacuation Device,3,94192409,Common,M,Unlimited,Duel Terminal 3,DT03-EN046
Comrade Swordsman of Landstar,3,83602069,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN048
Concentrating Current,3,20501450,Common,M,Unlimited,Soul Fusion,SOFU-EN064
Condemned Maiden,3,68018709,Common,M,Unlimited,Primal Origin,PRIO-EN038
Condemned Witch,3,44656450,Common,M,Unlimited,Egyptian God Deck: Obelisk the Tormentor,EGO1-EN019
Condolence Puppet,3,57093995,Common,M,Unlimited,Ignition Assault,IGAS-EN059
Confiscation,0,17375316,Common,M,Unlimited,Dark Beginning 1,DB1-EN023
Confusion Chaff,3,67630339,Common,M,Unlimited,Duelist Pack 8: Yusei Fudo,DP08-EN026
Conscription,3,31000575,Common,M,Unlimited,Speed Duel: Arena of Lost Souls,SBLS-EN024
Consecrated Light,3,2980764,Common,M,Unlimited,Absolute Powerforce,ABPF-EN033
Consolation Prize,3,63413494,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN216
Constellar Acubens,3,43513897,Common,M,Unlimited,Duel Terminal 7,DT07-EN068
Constellar Aldebaran,3,15871676,Common,M,Unlimited,Duel Terminal 7,DT07-EN019
Constellar Algiedi,3,41269771,Common,M,Unlimited,Star Pack ARC-V,SP15-EN007
Constellar Alrescha,3,16906241,Common,M,Unlimited,Duel Terminal 7,DT07-EN070
Constellar Belt,3,86825483,Common,M,Unlimited,Galactic Overlord,GAOV-EN064
Constellar Kaus,3,70908596,Common,M,Unlimited,Star Pack ARC-V,SP15-EN008
Constellar Leonis,3,17129783,Common,M,Unlimited,Duel Terminal 7,DT07-EN067
Constellar Meteor,3,63545861,Common,M,Unlimited,Duel Terminal 7,DT07-EN099
Constellar Pleiades,3,73964868,Common,M,Unlimited,Star Pack ARC-V,SP15-EN035
Constellar Rasalhague,3,70624184,Common,M,Unlimited,Duel Terminal 7,DT07-EN066
Constellar Sheratan,3,78486968,Common,M,Unlimited,Duel Terminal 7,DT07-EN018
Constellar Siat,3,44635489,Common,M,Unlimited,Duel Terminal 7,DT07-EN065
Constellar Star Chart,3,35631584,Common,M,Unlimited,Duel Terminal 7,DT07-EN045
Constellar Star Cradle,3,90156158,Common,M,Unlimited,Duel Terminal 7,DT07-EN095
Constellar Twinkle,3,35544402,Common,M,Unlimited,Secrets of Eternity,SECE-EN055
Construction Train Signal Red,3,34475451,Common,M,Unlimited,Legendary Duelists: Sisters of the Rose,LED4-EN043
Contact,3,16616620,Common,M,Unlimited,Power of the Duelist,POTD-EN037
"Contact ""C""",3,87170768,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN195
Contact Gate,3,41933425,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN000
Contact Out,3,69270537,Common,M,Unlimited,Gladiator's Assault,GLAS-EN045
Contact with the Aquamirror,3,10925955,Common,M,Unlimited,Extreme Victory,EXVC-EN059
Continuous Destruction Punch,3,68057622,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN140
Contract Laundering,3,46259438,Common,M,Unlimited,Structure Deck: Pendulum Domination,SDPD-EN037
Contract with Exodia,3,33244944,Common,M,Unlimited,Legendary Decks II,LDK2-ENY29
Contract with the Abyss,3,69035382,Common,M,Unlimited,Legendary Collection 3: Yugi's World,LCYW-EN273
Contract with the Dark Master,3,96420087,Common,M,Unlimited,Legendary Collection 3: Yugi's World,LCYW-EN128
Converging Wills Dragon,3,291414,Common,M,Unlimited,Dawn of Majesty,DAMA-EN001
Convert Contact,3,82639107,Common,M,Unlimited,Tactical Evolution,TAEV-EN047
Convulsion of Nature,3,62966332,Common,M,Unlimited,Dark Beginning 2,DB2-EN193
Copy Knight,3,21843307,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN198
Copy Plant,3,66457407,Common,M,Unlimited,Astral Pack 5,AP05-EN015
Copycat,3,26376390,Common,M,Unlimited,Speed Duel Demo Deck,DEM5-EN006
Core Blaster,3,59385322,Common,M,Unlimited,Ancient Prophecy,ANPR-EN053
Corridor of Agony,3,26257572,Common,M,Unlimited,The Shining Darkness,TSHD-EN062
Corroding Shark,3,34290067,Common,M,Unlimited,Tournament Pack 1,TP1-020
Corrosive Scales,3,13235258,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN074
"Corruption Cell ""A""",3,2561846,Common,M,Unlimited,Cyberdark Impact,CDIP-EN037
Cosmic Blazar Dragon,3,21123811,Common,M,Unlimited,Legendary Duelists: Magical Hero,LED6-EN029
Cosmic Compass,3,27450400,Common,M,Unlimited,Structure Deck: Powercode Link,SDPL-EN019
Cosmic Cyclone,3,8267140,Common,M,Unlimited,Structure Deck: Mechanized Madness,SR10-EN032
Cosmic Flare,3,84012625,Common,M,Unlimited,OTS Tournament Pack 16,OP16-EN024
Cosmic Slicer Zer'oll,3,1487805,Common,M,Unlimited,Dawn of Majesty,DAMA-EN047
Cosmo Brain,3,85679527,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN020
Cosmo Queen,3,38999506,Common,M,Unlimited,Super Starter: V for Victory,YS13-EN001
Cost Down,3,23265313,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENA12
Counter Cleaner,3,38834303,Common,M,Unlimited,Cyberdark Impact,CDIP-EN041
Counter Counter,3,42309337,Common,M,Unlimited,Tactical Evolution,TAEV-EN080
Counter Gem,3,11136371,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN113
Counterforce,3,30488793,Common,M,Unlimited,Order of Chaos,ORCS-EN064
Covering Fire,3,74458486,Common,M,Unlimited,Battle Pack 2: War of the Giants: Round 2,BPW2-EN084
Crackdown,3,36975314,Common,M,Unlimited,Structure Deck: Freezing Chains,SDFC-EN040
Cracking,3,32835363,Common,M,Unlimited,Generation Force,GENF-EN052
Cracking Dragon,3,60349525,Starfoil Rare,M,Unlimited,Star Pack VRAINS,SP18-EN014
Crane Crane,3,28637168,Common,M,Unlimited,Wing Raiders,WIRA-EN040
Crashbug Road,3,69042950,Common,M,Unlimited,Generation Force,GENF-EN050
Crashbug X,3,87526784,Common,M,Unlimited,Generation Force,GENF-EN009
Crashbug Y,3,23915499,Common,M,Unlimited,Generation Force,GENF-EN010
Crashbug Z,3,50319138,Common,M,Unlimited,Generation Force,GENF-EN011
Crass Clown,3,93889755,Common,M,Unlimited,Dark Beginning 2,DB2-EN050
Crawling Dragon #2,3,38289717,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN141
Crazy Fish,3,53713014,Common,M,Unlimited,Speed Duel: Trials of the Kingdom,SBTK-EN008
"Crealtar, the Impcantation Originator",3,96915510,Common,M,Unlimited,Dark Neostorm,DANE-EN029
Creation Resonator,3,5780210,Common,M,Unlimited,Legendary Collection 5D's,LC5D-EN065
Creature Seizure,3,15305240,Common,M,Unlimited,Tactical Evolution,TAEV-EN058
Creature Swap,3,31036355,Common,M,Unlimited,Structure Deck: Zombie Madness,SD2-EN020
Creeping Darkness,3,78811937,Common,M,Unlimited,Speed Duel Decks: Twisted Nightmares,SS05-ENA27
Creeping Doom Manta,3,52571838,Common,M,Unlimited,Rise of Destiny,RDS-EN025
Creepy Coney,3,49144107,Common,M,Unlimited,Photon Shockwave,PHSW-EN036
Crevice Into the Different Dimension,3,49600724,Common,M,Unlimited,The Shining Darkness,TSHD-EN078
Crimson Fire,3,24566654,Common,M,Unlimited,Raging Battle,RGBT-EN064
Crimson Ninja,3,14618326,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN006
Crimson Resonator,3,34761841,Common,M,Unlimited,Eternity Code,ETCO-EN017
Crimson Sunbird,3,46696593,Common,M,Unlimited,Cosmo Blazer,CBLZ-EN090
Criosphinx,3,18654201,Common,M,Unlimited,Structure Deck: Invincible Fortress,SD7-EN010
Crop Circles,3,24082387,Common,M,Unlimited,Power of the Duelist,POTD-EN051
Cross Attack,3,46961802,Common,M,Unlimited,Star Pack 2014,SP14-EN032
Cross Debug,3,9097866,Common,M,Unlimited,Rising Rampage,RIRA-EN002
Cross Porter,3,73146473,Common,M,Unlimited,Light of Destruction,LODT-EN002
Cross-Dimensional Duel,3,56889,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN091
Cross-Sword Beetle,3,74976215,Common,M,Unlimited,Crimson Crisis,CRMS-EN035
Crowned by the World Chalice,3,95511642,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN044
Crusader of Endymion,3,73853830,Common,M,Unlimited,Structure Deck: Order of the Spellcasters,SR08-EN006
Crusadia Arboria,3,91646304,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN007
Crusadia Draco,3,54525057,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN009
Crusadia Krawler,3,55838342,Common,M,Unlimited,Soul Fusion,SOFU-EN074
Crusadia Leonis,3,28031913,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN008
Crusadia Power,3,96434581,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN055
Crusadia Reclusia,3,55241609,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN006
Crusadia Regulex,3,9617996,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN043
Crusadia Spatha,3,39528955,Common,M,Unlimited,Soul Fusion,SOFU-EN046
Crusadia Testament,3,87497553,Common,M,Unlimited,Dark Neostorm,DANE-EN061
Crusadia Vanguard,3,55312487,Common,M,Unlimited,Cybernetic Horizon,CYHO-EN071
Crush Card Virus,3,57728570,Common,M,Unlimited,Legendary Dragon Decks,LEDD-ENA31
Crusher Run,3,88667504,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN195
Cryomancer of the Ice Barrier,3,23950192,Common,M,Unlimited,Structure Deck: Freezing Chains,SDFC-EN007
Crystal Abundance,3,72881007,Common,M,Unlimited,Force of the Breaker,FOTB-EN035
